text,start,end
ด้านใดคะ อุ่นใจ ขอ แจ้ง,5.482,7.13
ของคุณลูกค้าด้วย,7.978,8.986
ตอนอื่นต้องขออภัย,9.354,10.618
สำหรับข้อมูลไม่พึงประสงค์ที่ทางคุณลูกค้าได้,10.826,14.181000000000001
รับผ่านทางข้อความนะคะ น้องอุ่นใจจะทำการตรวจสอบ,14.181000000000001,17.776
ข้อมูลในระบบให้ค่ะ ขอบคุณที่ถือสายรอนะคะ,17.776,21.371
ตอนรู้ทางระบบ,21.546,22.842
ได้ทำการเคลือบข้อมูลที่ไม่พึงประสงค์,22.858,25.85
ที่คุณลูกค้าได้รับผ่านทางข้อความทางโทรศัพท์,25.866,29.242
ดาวน์โลก,29.354,30.394
ศูนย์ แปด,30.474,31.866
สอง ศูนย์,33.29,34.266
เรียบร้อยแล้ว,36.874,37.946
คุณ ลูกค้า มีเรื่อง ร้องเรียน อะไร,38.218,40.402
 เพิ่มเติม อีก หรือไม่ คะ ใกล้ แล้ว ค่ะ,40.402,42.586
นอกจากข้อความโปรโมชั่นต่าง ๆ,42.698,45.21
แพ็คเกจอัพเดทต่างต่างจากทางเอไอเอฟ,45.77,48.602
จะไม่มีข้อความกับตังค์อื่นอื่นส่งไปยัง,48.778,51.612
โทรศัพท์ของคุณลูกค้าอีกค่ะด้วยความยินดีค่ะ,51.612,54.682
มีเรื่อง อื่น ใด ให้ น้อง อื่น ใจ,54.73,56.815999999999995
 เชื่อ เหลือ อีก หรือไม่ คะ ยินดี ค่ะ,56.815999999999995,59.16199999999999
กรุณาผิวสายรอสักครู่,59.402,61.594
ระบบกำลังโอนสายไปยังเจ้าหน้าที่ค่ะ,61.674,64.443875
