text,start,end
ติดต่อจากไหนนะครับ,0.042,1.306
แล้วก็อาจจะร่วมกลุ่มอีก,4.682,5.914
เรื่องอะไรครับ,7.434,8.57
ค่ะ วันนี้มีเรื่องสำคัญของปัญหาเปล่าคะ,10.73,12.794
เราจะรู้จักกับนายอีกรายกองทางหรือเปล่าคะ,13.898,16.89
ไม่เคยได้ยินชื่อเลยครับ,17.482,19.098
ที่เขาคิดออกมาค่ะ,21.77,23.77
เขา,24.746,25.562
เขาทำอะไรอ่ะครับ,25.61,26.778
ก็เมื่อแต่วันถัดมาค่ะ,29.898,31.93
ครับ แล้ว,32.298,33.178
มีการเก็บตัวเขา,33.194,35.066
ค่ะ เป็นผู้ต้องหาดีก็คือ,36.106,38.49
ที่จะทำการเก็บตัวเขาได้,38.57,42.01
วางไปซะแล้วครับ แก๊งคอร์ดเซ็นเตอร์,45.93,48.218
ลองดูว่าจะโทรมาใหม่ไหมครับ,50.09,51.546
โปรดติดตาม,51.786,52.73
