text,label
krub telephone jaak bor ri sat bpra gun ชื่อ ครับ dtaam thee khun dai sob tham reuang bpra gun rot yon wai dton maa ngan motor show pom kao jaaeng wa rao mee promotion phi set nai dueuan nee krub lot 25 percent sam rap luuk kaa mai khun sa duak hai pom nat bpai raai la iat thee baan wan nai dee,0
ครับ telephone ร้าน ซัก รีด เสร็จ แล้ว ครับ ชุด สูท 3 ตัว กับ เสื้อ เชิ้ต 5 ตัว รวม 850 บาท ครับ มา รับ ได้ ตั้งแต่ บ่าย โมง เป็น ต้น ไป ครับ เปิด ถึง 2 ทุ่ม ครับ,0
สวัสดี ค่ะ คุณ ประทีป โทร จาก ร้าน แว่น ท็อป เจริญ ค่ะ แว่น สายตา ที่ สั่ง ทำ มา ถึง แล้ว นะ คะ เลนส์ แบบ progressive กรอบ titanium สี ดำ ตาม ที่ เลือก ไว้ ค่ะ มา ลอง ใส่ ดู ได้ ตั้งแต่ พรุ่งนี้ เป็นต้นไป ค่ะ ถ้า ไม่ พอใจ สามารถ ปรับแต่ง ได้ ฟรี นะ คะ,0
ตัวเอง วันนี้กลับกี่โมง เค้าหิวข้าวแล้ว ซื้อก๋วยเตี๋ยวหน้าตึกมาฝากหน่อย เอาเส้นเล็กต้มยำนะ ไม่ใส่ถั่วงอก อย่าลืมนะ รีบมานะหิวมาก จุ๊บๆ,0
ฮัลโหลแม่เหรอแม่นี่หนูเองนะพอดีมือถือหนูตกน้ำเครื่องพังเลยยืมมือถือเพื่อนโทรมาเนี่ยเสียงเลยแปลกๆหน่อยแม่หนูเดือดร้อนมากเลยตอนนี้ขั,1
ะพอดีมือถือหนูตกน้ำเครื่องพังเลยยืมมือถือเพื่อนโทรมาเนี่ยเสียงเลยแปลกๆหน่อยแม่หนูเดือดร้อนมากเลยตอนนี้ขับรถเพื่อนไปชนต้องรีบจ่ายค่าเสียหายให้คู่กรณีเขาด่วนเลยแม่โอนเงินให้หนูสักสองหมื่นก่อนได้ไหมโอนเข้าบัญชีเพื่อนหนูนะเพราะบัญชีหนูแอปมันใช้ไม่ได้เดี๋ยวหนูกลับไปคืนให้นะแม่รีบหน่อยนะเขาขู่จะแจ้งตำรวจ,1
โหลแกได้ยินปะเออเน็ตมันกากว่ะอยู่บนเขาเนี่ยสัญญาณไม่ค่อยมีเออเรื่องงานเดี๋ยววันจันทร์ค่อยคุยได้ปะตอนนี้ไม่สะดวกเลยเสียงมันขาดๆหายๆว่ะแค่นี้นะ,0
ซาวัดดีคับเรียนสายคุนสมสักไช่มั้ยคับผมโทจากสุนบริการเคอหลี่นะคับพัดสะดุของคุนตกค้างที่สาขาคุนจะไห้ตีกับต้นทางเลยมั้ยคับหรือจะไห้ผมเข้าไปสงใหม่,0
เออแม่เนี่ยหนูเลิกงานแล้วกำลังจะกับนะรถติดมากเลยฝนก็ตกด้วยแม่กินข้าวก่อนเลยไม่ต้องรอนะเด๋วหนูซื้อก๋วยเตี๋ยวเข้าไปกินเอง,0
สวัสดีครับ ผมชื่อนพดล โทรมาจากบริษัทประกันภัยกรุงเทพครับ ตามที่คุณได้สอบถามเรื่องประกันรถยนต์ไว้ตอนมางานมอเตอร์โชว์ ผมขอแจ้งว่าเรามีโปรโมชั่นพิเศษในเดือนนี้ครับ ลด 20 เปอร์เซ็นต์สำหรับลูกค้าใหม่ คุณสะดวกให้ผมนัดไปรายละเอียดที่บ้านวันไหนดีครับ,0
