text,start,end
ได้ครับ ยังไงนะครับ,0.426,2.682
ได้ครับผม,5.834,6.874
ทาง เรา อยาก ให้ คุณ พี่ เข้า มา ช่วย รับ ชม คลิป วีดีโอ ครับ กด หัว ใจ,8.362,11.994
เพื่อเพิ่มยอดวิวยอดไหล่ให้กับทางร้านค้าแอป tiktok ของเราครับ,12.106,15.578
เครื่องทางบริษัท เรา ก็ จะ มี ค่าตอบแทน นะ คุณ พี่ คิด ละ ยี่สิบ บาท,15.882,19.834
รายได้ต่อวันอยู่ที่สามร้อยถึงหนึ่งพันบาทนะครับ,19.882,23.066
รายได้ เหล่านี้ ขึ้นอยู่กับความสะดวก,22.986,25.218
ของคุณพี่นะครับ และที่สำคัญ,25.218,27.226
ไม่ เสีย ค่า สมัคร และ ค่าใช้จ่าย ใด ใด ทั้งสิ้น กับ คุณ พี่,27.21,30.426
ราชาบังคุณพี่สนใจไหมครับ,30.538,32.378
สนใจครับ แล้วรายได้ที่เขาจะโอนให้เลยหรือว่ายังไงครับ,32.394,35.418
เขาจะโอนให้เลยครับคุณพี่ อ่า,36.746,38.906
จาก ทิตต์ตอบ อ่ะครับ,40.138,41.274
ใช่ครับผม,42.666,43.514
จาก ทิศตะวันออกแห่ง ไทย ครับ,43.53,44.954
อ๋อ แต่เบอร์โทรคุณมันมาจากมาเลเซียนะไม่ใช่ไทยแลนด์,44.906,48.154
อะไรนะครับพี่ แต่เบอร์เทิงคุณมันมาจากมาเลเซียไม่ใช่ไทยแลนด์หรอครับ,49.738,53.37
คุณต้อง คุณต้องไปติ๊กต๊อกมาเลเซียนะ,53.674,55.93
มัน มัน มันอยู่ในเครือเดียวกันครับพี่ ครับ,57.418,60.218
ง่ายง่าย,61.162,62.394
แล้วงี้ งี้ผมจะไปเก็บตังค์กับใครอ่ะไปเก็บตังค์แก่มาเลเซียหรือว่าไทยแลนด์นะฮะ,63.434,67.29
ไทยแลนด์ครับคุณพี่ ไทยแลนด์นะฮะ,68.682,70.49
ไม่คุณใช้เบอร์ไทยโทรเข้ามา อันนี้เบอร์มาเลเซียโทรเข้ามาเนี่ย,70.506,74.458
ไอส่วนตรงนี้เนี้ยผมเข้าใจครับคุณพี่เพราะมันเป็นเบอร์เบอร์ของมาลี,76.362,79.97399999999999
ทัวร์นะครับ อืม จริงจังคือว่าสายบริการของเราเนี้ยเขาเป็นคนไทยครับ,79.97399999999999,83.58599999999998
เขาก็อยู่ฝั่งไทย อืม ครับ ก็ถ้าเกิดว่าคุณพี่สนใจนะครับคุณพี่,83.58599999999998,87.19799999999998
สะดวกแอปไลน์เข้าไปรับงานก่อนไหมครับ ได้ครับผมขอไอดีด้วยครับผม,87.19799999999998,91.00099999999998
ไม่ใช่ครับ คุณพี่ถูกบอกไอดี,90.986,93.01
ลายผิดครับ ผมขอโทษครับ เอาใหม่ครับ,93.01,95.25800000000001
ครับ,96.266,97.018
ไอดีไลน์ตัวแรกนะครับ ที่จะเกิด,100.234,102.268
สี่ผิวเลยครับ ไม่มีแอปหนังหน้านะครับ,102.268,104.506
เครียดหรอครับ,104.618,105.658
ใช่ครับ ที่เปิดเผยพิมพ์ได้ครับ ครับ,107.274,109.978
แล้วก็ไปกินถุงรสครับ,111.53,113.274
ดีครับ,113.29,114.106
แล้วก็เลขสามครับ เลขสามครับ,115.402,117.69
แล้วก็กดติดตามด้วยนะครับ โจเจครับ,118.986,121.722
เขากดค้นหาอยู่ครับ ทุกที่ขึ้นเข้าสายสถิติการณ์นะครับ,122.666,125.594
ขอบคุณที่ติดตาม สวัสดีครับ,127.018,129.946
tiktok Thailand tiktok Thailand อยู่ที่ไหนนะครับ,130.186,132.25
อ่า อะไรนะครับ ติ๊กต๊อกไทยแลนด์มันอยู่ที่ไหนนะครับ,133.802,136.474
ตั้งอยู่ที่ไหนครับ,136.554,137.434
อันนี้บริษัทเราตั้งอยู่บนเคสนะคะ ที่นี่ ซึ่งบริษัทซึ่ง,138.954,142.682
ชื่อบริษัทชื่อสถานภาวดีจำกัดมหาชนนะครับ,142.922,146.138
มหาชนด้วยล่ะครับ,146.058,147.226
ขอชื่อย่อ 3 ตัวในตลาดหุ้นหน่อยครับ,148.49,152.346
อะไรนะครับ ของชื่อย่อ 3 ตัวในตลาดหุ้นนะครับ,154.026,156.538
ที่แม่สักวันนี้,158.73,160.73
ทางบอสเขายังไม่ได้บอกผมครับ คุณทำงาน คุณทำงาน,160.714,164.051
 คุณต้องรู้สิ คุณเข้าตลาดหุ้นอะ ผมจะไปซื้อหุ้นคุณเลย,164.051,167.60999999999999
เดี๋ยวผมจะไปซื้อหุ้นคุณเลยเนี่ย,167.53,168.986
ตลาดกำลังเปิดอยู่เลย,168.906,170.106
อ๋อ สิ้นยอมมะ,170.25,171.194
ไปซื้อหุ้นคุณเลย,171.114,172.154
หุ้นอัสสราญตอนนี้หุ้นหุ้นอัสสราญเยอรมราชราชเนี่ย,172.746,175.226
ตอนนี้ในตลาด,177.482,178.938
หุ้นละเท่าไหร่บริษัทคุณอะ,179.114,180.762
ผมไม่รู้ครับผมเป็นพนักงานใหม่ครับก็,182.506,184.626
ยังไม่ได้พบผมอ่า อ่า บริษัทตั้งอยู่,184.626,186.746
เขตอะไรครับ รู้ไหมเขตอะไร,187.402,189.018
เขตของตันครับเขตของตันเหนือ,191.338,193.458
ครับพี่ อ๋อ มีของตันเหนือด้วย,193.458,195.578
โอเค เปิ้ล เปิ้ล เรื่องไงต่อครับ,197.322,199.066
อ่า คนที่เปิดกระแสแล้วแค่นั้นครับ ครับ,201.386,203.546
ให้คุณพี่พิมพ์เข้าไปว่า,204.938,206.778
รับงาน,206.794,208.026
หก หก สิบ หก สิบ หก สิบ หก สิบ หก สิบ หก สิบ หก สิบ หก สิบ หก สิบ หก สิบ หก สิบ หก สิบ หก สิบ หก สิบ หก สิบ หก สิบ หก สิบ หก สิบ หก สิบ หก สิบ หก สิบ หก สิบ หก สิบ หก สิบ หก สิบ หก สิบ หก สิบ หก สิบ หก สิบ หก สิบ หก สิบ หก สิบ หก สิบ หก สิบ หก สิบ หก สิบ หก สิบ หก สิบ หก สิบ หก สิบ หก สิบ หก สิบ หก สิบ หก สิบ หก สิบ หก สิบ หก สิบ หก สิบ หก สิบ หก สิบ หก สิบ หก สิบ หก สิบ หก สิบ หก สิบ หก สิบ หก สิบ หก สิบ หก สิบ หก สิบ หก สิบ หก สิบ หก สิบ ,208.074,209.754
ผมขออนุญาตหน่อยนะครับ คุณช่วยเท่าไหร่ล่ะครับ,214.122,216.698
อายุ 40 ครับ,217.002,218.138
ใช่ไหมครับ พี่ ครับ,220.074,221.306
อ่า พี่ทิวเข้าใจยังครับ,223.53,225.082
อยากได้ครับแป๊บหนึ่งอะ,225.962,227.226
พอดีอินเทอร์เน็ตมันช้าช้า,235.37,237.114
อ่า ให้พิมพ์ว่าไงนะ,238.186,240.346
รับงาน,240.266,241.114
พี่น้ำ หก หก สี่ หนึ่ง,241.674,242.906
โอ้โห สิ่งนึงเลยละกันนะ,242.922,244.346
รับงาน,246.25,247.13
คุณไม่รู้,247.818,248.57
ฝ่ายบริการเราก็จะพาคุณพี่ไป,249.578,251.506
ลงทะเบียนเป็นสมาชิกกับทางบริษัทเรา,251.506,253.626
แต่ลงทะเบียนนี้จะไม่เสียค่าสมัครและ,253.674,255.826
ค่าใช้จ่ายใดๆทั้งสิ้นครับคุณพี่ ครับ,255.826,257.978
และรหัสยืนยัน 4 ตัวที่ทางผมแจ้งคุณพี่ไป,258.826,262.213
ว่า 6641 เอาไว้ยืนยันว่าทางผมติดต่อมาหา,262.213,265.6
คุณพี่จริงเพื่อป้องกันบุคคลฤทธิ์แจ็บอ้างนะครับ,265.6,268.987
ได้ครับ ได้ครับ แล้วตอนนี้ฝ่ายบริการมีการปรับตัดกับคุณ,270.058,272.866
พี่มาว่ายังไงบ้างครับ ครับ เขาอ่านแล้วครับ เดี๋ยวคงตอบกลับ,272.866,275.674
เดี๋ยวผมคุยทางไลน์ได้ไหมพอดีผม,276.746,279.45
ขับรถอยู่ด้วย,279.626,280.762
เดี๋ยวขับรถต่อกัน,280.714,281.69
โอเคครับ,284.202,285.018
ครับ แต่คุณพี่อย่าลืมจอดรายการบริการเราด้วยนะครับ ได้ครับ,285.034,288.122
ครับ ครับ ตอนนี้ผมขออนุญาตบางสายก่อนนะครับ ครับผม คุณ,289.258,292.33799999999997
พี่ได้สนทนากับทางฝ่ายบริการแล้วได้ยกพักขึ้น ครับผม,292.33799999999997,295.41799999999995
ครับ ทั้งนั้นขอขอบคุณมากครับ ขอบคุณครับ,295.69,298.298
