text,start,end
มิ ทราบ ว่า กำลัง เรียน สาย คุณ สนธยา อยู่,1.002,3.7619999999999996
 หรือ ป่าว คะ จาก เอเอฟ สาย ลูกค้า สำพันธ์ ค่ะ,3.7619999999999996,6.521999999999999
ขอ เรียง แจ้ง ว่า,6.762,8.186
ตอนนี้ หุ้นสนทนายามียอดกันกำหนดชำระสองเดือน,8.138,11.418
เป็น ค่าใช้จ่าย ทั้งหมด,11.338,13.082
หนึ่ง พัน สอง ร้อย บาท ค่ะ,13.034,14.842
ไม่ ทราบ ว่า สะดวก ชำระ ภายใน วันนี้ หรือไม่,15.018,17.799
 คะ หาก ไม่ สะดวก ชำระ ยอด จำนวน ชำระ สอง เดือน,17.799,20.794
คุณ สนทนา สามารถ ชำระ เพียง ยอด หนึ่ง เดือน ก่อน ได้ นะคะ ค่า,21.002,24.430999999999997
 ยอด กัน กำหนด ชำระ หนึ่ง เดือน จะ เป็น ยอด หก ร้อย บาท ค่ะ ไม่,24.430999999999997,27.859999999999996
 ทราบ ว่า สะดวก ชำระ ภายใน วันนี้ หรือไม่ คะ ใช่ แล้ว ค่ะ,27.859999999999996,31.288999999999994
หากไม่สำรับภาพในวันนี้,31.434,33.402
เบอร์โทรศัพท์ของคุณลูกค้าจะถูกระงับสัญญาณชั่วคราว,33.386,37.018
และจะกลับมาใช้งานได้อีกครั้งหลังจากชำระยอดเงิน,36.97,40.141
กำหนดชำระครบถ้วนค่ะ ไม่ทราบว่าคุณลูกค้ามีใช้แอปพลิเคชันอินเทอร์เน็ต,40.141,44.792
แบงกกิ้งของธนาคารหรือไม่คะ ค่ะ,44.792,46.906
หากเป็นแอพพลิเคชั่นเคแบงก์ของธนาคารเกษตรกรไทย,46.954,50.458
ทางลูกค้าสามารถเข้าเมนูธุรกรรม,50.538,53.242
จากนั้นเลือกสายบินแล้วเลือก ais กองใหม่เลขโทรศัพท์,53.354,56.986
ของคุณลูกค้าแล้วชำระยอดกำหนดชำระได้,56.906,59.918
เลยค่ะ คุณลูกค้าสามารถปรับเปลี่ยนจำนวนเงินได้ค่ะ,59.918,63.162
หากลูกค้าอยากชำระเพียงยอดกำกับหน่วยชำระหนึ่งเดือน,63.242,66.522
ซึ่งเป็นยอดของเดือนกันยายน,66.442,68.314
คุณลูกค้าสามารถกรอกยอดชำระหกร้อยบาทได้,68.394,71.346
เลยค่ะ ขอบพระคุณค่ะคุณลูกค้า ขอบพระคุณค่ะ,71.346,74.298
ทางราวขอแนะนำให้สำระย่อราย,74.25,76.29
เดือนให้ตรงตามระยะเวลากำหนด,76.29,78.33000000000001
เพื่อเป็นการหลีกเลี่ยงเปอร์โทรศัพท์ถูกทางลักษณ์,78.346,80.894
สัญญานะคะ เอเอส ยินดีให้บริการค่ะ,80.894,83.674
หากมีข้อสงสัยเพิ่มเติม,83.818,85.692
สามารถติดต่อ ais ได้เสมอค่ะ,85.692,87.83399999999999
สำหรับวันนี้ ขอบพระคุณค่ะ,88.042,90.347875
