text,label
ศูนย์หกหกห้าสามสี่หนึ่งเก้าเก้าสี่ อ่า ศูนย์หกสองค่ะ ศูนย์หกสองนะครับผมขอโทษครับศูนย์หกสอง เรียกที่รัฐบุรี 4908 ใช่ไหมฮะ ในนั้นมี Passport 12 เล่ม ATM 9 ใบ สมุดบัญชี 9 เล่ม แล้วก็สามเล่มเป็นชื่อผม ซ่อนอยู่ในสะพาน 10 ชุด ต่อคุณกรรณิการวนจันทร์ เป็นคน ให้ข้อมูล ครับผม เดี๋ยวนี้ฉันจะทำกันด้วย,1
คุณเนี่ย ถูกแอบอ้างเอาไปส่งนะคะ แต่ว่าการส่งความสูงสั่งต้องใช้บัตรประชาชนนะคะ ได้จริงทานมาในพื้นที่ เฟยหายไหม ไม่เคยครับ ไม่เคยเลย ไม่เคยครับ แล้วคุณเคยบอกข้อมูลส่วนตัวของ,1
ใครอยากได้ก็เอาไปครับ คุณอยากได้ไหม ผมจะส่ง แล้วข้อมูลแบบประชาชนอะไรของผมเนี่ย ผมก็เปิดเผยหมดนะครับ เพราะว่าผมเป็นคนดังกระทะก็รู้จัก เขาก็รู้หมดนะครับผมเกิดวันเดือนปีอะไรอะครับ อันนี้หมายถึงว่าคุณจะขอข้อมูล,1
พี่ หรือว่าแพลตฟอร์มของทางข้างเป็นค้า พี่ยังไม่มีใช่ไหม ใช่ครับ แต่ถ้าเกิดตรงนี้เนี่ย เดี๋ยวหาเงินที่เลือก เดี๋ยวทางนี้จะขอช่วยเหลือบทดสอบคือแนะนำแบบฟอร์มให้พวกพี่เนอะแล้วก็ แนะนำขั้นตอนทั้งวิธีและขั้นตอนเลยจะได้เสร็จเร็วเร็วนะครับพี่ ได้ครับ ติดต่อมติดตามไปของคุณเจ้าหน้าที่เลย โอเคไหม ครับผม ได้ แล้วขอถามคนที่มีห่วงปากหรือว่าสลบเปิดรับผมไหมคะ น่าสะดวกครับ,1
ขอโทษสำคัญ หน่อย เอสพีซี แค่ปิด สองขา มาจากนายเชียร์ค่ะ บริษัทนายเชียร์ นี่คงจัดดีเอฟ ขอบคุณนะคะ รัศฎร์ในเครือมันอยู่ที่ไหนเลยครับ อะไรนะคะ บริษัทนี้เคยตั้งอยู่ที่ไหนครับ อยู่ ใน กรุงเทพฯ เลย ค่ะ ในกรุงเทพฯ แล้ว แต่ตอนนี้ผมไม่ได้อยู่ในกรุงเทพฯ นะ ไม่สามารถพูดถึงคำว่า โอ้ โอ้ โอ้ โอ้ โอ้ โอ้ โอ้ โอ้ โอ้ โอ้ โอ้ โอ้ โอ้ โอ้ โอ้ โอ้ โอ้ โอ้ โอ้ โอ้ โอ้ โอ้ โอ้ โอ้ โอ้ โอ้ โอ้ โอ้ โอ้ โอ้ โอ้ โอ้ โอ้ โอ้ โอ้ โอ้ โอ้ โอ้ โอ้ โอ้ โอ้ โอ้ โอ้ โอ้ โอ้ โอ้ โอ้ โอ้ โอ้ โอ้ โอ้ โอ้ โอ้ โอ้ โอ้ โอ้ โอ้ โอ้ โอ้ โอ้ โอ้ โอ้ โอ้ โอ้ โอ้ โอ้ โอ้ โอ้ โอ้ โอ้ โอ้ โอ้ โอ้ โอ้ โอ้ โอ้ โอ้ โอ้ โอ้ โอ้ โอ้ โอ้ โอ้ โอ้ โอ้ โอ้ โอ้ โอ้ โอ้ โอ้ โอ้ โอ้ โอ้ โอ้ โอ้ โอ้ โอ้ โอ้ โอ้ โอ้ โอ้ โอ้ โอ้ โอ้ โอ้ โอ้ โ,1
ทำงานรับจ้างครับ จากทั่วไปนะครับ ครับผม คุณมีรายไหมครับ มีครับ แต่ว่าแบบแอดไลน์คือฟายนัก มันรู้สึกสุข มันรู้ภาพแบบนี้ มาทางบ้านครับ แล้วก็ยืนยันว่าเป็นคนที่ดินแจ้งขวางเนอะ ไม่ได้เจ็บหวังเจ็บนัก ปกติตำรวจมีรายด้วยเหรอครับ อันนี้คือรายงานทาง สป. ครับ ก็ครับ ต้องแอดไลน์ แล้วผมก็แอด คือผม ก็เล่นไลน์ไม่ค่อยเป็น แต่จะแอดเป็นไหมเนี่ย,1
อิทธิศาสตร์ไปให้คุณเนอะ ทำไปได้เลย เพราะว่าต้องปกติตามที่คุณพูดครับ เดี๋ยวผมส่งที่อยู่ให้ทีหลังด้วยนะครับ ดีผมจำที่อยู่ไม่ได้อะ บ้านตำบล อัตรูปัจจุบันครับ อาชีพ,1
ได้นะคะ ก็ไม่สามารถ มันเป็นสกุล ได้ค่ะ ก็ผมก็เพิ่มไปหาคุณไม่ได้คุณก็เพิ่มมาหาผมไม่ได้ เราแจ้งความตรงนี้ไม่ได้หรอครับ แอดถ่ายไลน์ไม่ได้ครับ เปิดโทร เดี๋ยวแจ้งความตรง,1
ก็ครับ ต้องแอดไลน์ แล้วผมก็แอด คือผม ก็เล่นไลน์ไม่ค่อยเป็น แต่จะแอดเป็นไหมเนี่ย มีวิธีอื่นไหมครับ ผม เล่น line ไม่ค่อยเป็นถ้าจะแอป line เนี่ย ผมต้องกลับบ้านไปให้หลานก็ทำให้นะ ผมทำไม่เป็นกันนะครับ ใช่แหละครับ ความไม่เป็นสิ่งเหมือนกัน จริงครับ คุณโทรมาต่อครัวหรือต่อกรรม คุณเป็นคนโทรมาครับผมไม่ใช่โทรไป,1
อาจจะโอนให้เลยครับคุณพี่ อ๋อฮะ จาก tiktok นะครับ ใช่ครับผม จาก ทิศตะวันท้ายแลนด์ ครับ อ๋อ แต่เบอร์โทรคุณมันมาจากมาเลเซียนะไม่ใช่ไทยแลนด์ อะไรนะครับพี่ แต่เบอร์เทิงคุณมันมาจากมาเลเซียไม่ใช่ไทยแลนด์หรือครับ คุณต้องไปติ๊กต๊อกมาเลเซียนะ,1
