text,start,end
สวัสดีครับ เอ่อ นี่ได้ยินไม่ครบ,0.522,2.909
 เอ่อ มันก็ เราจะทำการทำงานน่ะ,2.909,5.561999999999999
เอ่อ เอ่อ โทรหาคุณนะครับเพื่อติดต่อ,5.482,8.986
เอ่อ เรื่อง การ,9.194,10.81
มีปัญหาของระบบ,10.954,12.837
นะครับก็เออ คุณสามารถ,12.837,15.033999999999999
เข้าไปได้นะครับโดย,15.21,17.37
โดยสามารถเปิดในแอปของคุณนะครับ,17.418,20.538
ถ้าเปิดไม่ได้นะครับก็แปลว่าถ้า,20.522,23.043999999999997
ขณะนี้ระบบมีปัญหานะครับก็ต้อง,23.043999999999997,25.817999999999998
ตอนนี้ระบบจะเปิดอีกประมาณตอน,25.802,29.594
ตอนสัก 4 นาฬิกานะ,29.77,31.958
ครับก็ถ้าลูกค้าเราต้องการ,31.958,34.458
ต้องการทำรายการภายในช่วงเวลานั้น,34.666,37.914
พวกเราก็ต้องขอโทษด้วยนะครับ โอเค แค่นี้ครับ,38.186,41.018
