text,start,end
ต้องการ สอบถาม,1.802,2.586
การ สอบถาม วิธีการ ใช้,6.474,8.762
สัญญาณ ทรู ไว ไฟ ใน,8.938,11.043000000000001
 ห้าง ใช่ มั้ย คะ ถ้า เกิด ว่า,11.043000000000001,13.498000000000001
คุณลูกค้า เหมือนกับว่าคุณลูกค้าไปพื้นที่ที่มี,13.514,16.889
การปล่อยสัญญาณทรูแล้วก็ต้องการที่จะใช้สัญญาณทรู,16.889,20.506
สัญญาณ โดย ไฟ รู,20.522,21.85
คุณลูกค้าจะต้องสมัครยังไงใช่ไหมคะ,22.026,24.602
ค่ะ โดยปกติ แล้ว ใน ส่วน ของ สัญญาณ,24.586,27.549999999999997
 ทัวร์ ค่ะ จะ เป็น สิทธิพิเศษ ที่ ทาง เรา,27.549999999999997,30.809999999999995
ให้ กับ ลูกค้า ที่ มี การ ใช้จ่าย ค่า อินเทอร์เน็ต หรือ,30.89,34.667
 ว่า ค่า มือถือ รายเดือน เดือน ละ สาม ร้อย บาท เป็นต้นไป,34.667,38.444
 ค่ะ ตรงนี้ คุณ ลูกค้า จะ สามารถ ใช้ สิทธิ อินเทอร์เน็ต,38.444,42.491
ไวไฟ ที่ ทาง ทรู,42.698,44.314
มี ใน พื้น ที่ สาธารณะ ค่ะ สามารถ ใช้ ได้ ฟรี นะคะ,45.226,48.154
น้า ขาย ข้าว หอมมะลิ อินทรีย์ ทรี อิน วัน ห่อ ละ สาม หมื่น บาท ค่ะ,48.842,49.658
อ่า,49.738,50.65
ใช่ค่ะ คุณลูกค้า จะใช้ได้แค่ลูกค้าที่เป็นรายเดือนนะ,50.57,54.362
คะ หากคุณลูกค้าอยากต้องการที่จะได้สิทธิพิเศษตรง,54.362,58.154
นี้ค่ะ ก็คือจะต้องย้ายจากเติมเงินมาเป็นรายเดือนนะคะ,58.154,61.946000000000005
ตรงนี้ คุณ ลูกค้า สนใจ ไหม คะ เดี๋ยว ทาง เจ้าหน้าที่ จะ,61.898,65.274
ช่วย เปลี่ยน แนว สัมภาษณ์ ของ สังคม สังคม สังคม สังคม สังคม สังคม สังคม สังคม สังคม สังคม สังคม สังคม สังคม สังคม สังคม สังคม สังคม สังคม สังคม สังคม สังคม สังคม สังคม สังคม สังคม สังคม สังคม สังคม สังคม สังคม สังคม สังคม สังคม สังคม สังคม สังคม สังคม สังคม สังคม สังคม สังคม สังคม สังคม สังคม สังคม สังคม สังคม สังคม สังคม สังคม สังคม สังคม สังคม สังคม สังคม สังคม สังคม สังคม สังคม สังคม สังคม สังคม สังคม สังคม สังคม สังคม สังคม สังคม สังคม สั,65.226,66.458
อัพเกรด,66.474,67.29
แพ็คเกจ คุณลูกค้า ให้ได้ นะคะ,67.274,69.594
ถ้าเป็นลูกค้าเติมเงินที่,69.578,71.906
ต้องการใช้ไวไฟอ่ะค่ะ,71.906,74.23400000000001
