text,label
แจ้งเตือนระบบ หมายเลขโทรศัพท์ของคุณถูกนำไปใช้ในธุรกรรมฉ้อโกง,1
ถ้าคุณไม่ได้เป็นผู้ร้องขอ ให้รีบเปลี่ยนรหัสผ่านทันทีนะครับ,0
โอเคครับ ถ้าไม่เจอเดี๋ยวรบกวนส่งให้นะ,0
 ดิฉัน อนุรักษ์ จาก สน.พญาไท นะคะ เราตรวจพบธุรกรรมน่าสงสัยในบัญชีธนาคารของคุณที่เกี่ยวข้องกับการฟอกเงิน เพื่อความบริสุทธิ์ใจ รบกวนแจ้งเลขบัตรประชาชน 13 หลัก และเลขบัญชีธนาคารเพื่อตรวจสอบค่ะ,1
This is a security confirmation call. Someone just tried to reset your account password.,0
 โทรจากคลินิกความงาม นะครับ คุณพี่มีสิทธิ์ทำทรีตเมนต์หน้าใสฟรี 1 ครั้งนะคะ สะดวกเข้ามาทำวันไหนดีคะ? ช่วงเช้าวันธรรมดาคนน้อยค่ะ สบายๆ เลย,0
คนโทรไม่พูดอะไร,0
คุณชนะรางวัลสลากกินแบ่งรัฐบาล กรุณาส่งภาพบัตรประชาชนเพื่อยืนยัน,1
สวัสดีครับ โทรจากโครงการคนละครึ่งนะครับ พอดีระบบโอนเงินให้ร้านค้าเกินไปจากยอดของคุณ ทางเราต้องขอเรียกเงินคืนครับ รบกวนขอเลขบัญชีธนาคารเพื่อดึงยอดเงินคืนด้วยครับ,1
...,0
แจ้งเตือน โปรดยืนยันข้อมูลบัญชีธนาคารของคุณภายใน 24 ชม.,1
กรุณาแจ้งรหัสผ่านของคุณเพื่อให้เราตรวจสอบและป้องกันการถูกแฮ็กครับ,1
ไปเจอกันวันเสาร์ไหม,0
 ติดต่อจากฝ่ายคืนสินค้าของ Shopee นะคะ ต้องขออภัยที่สินค้ามีปัญหา เพื่อทำการคืนเงิน รบกวนขอเลขบัญชีธนาคาร แล้วเดี๋ยวทางเราจะขอรีโมทหน้าจอเข้าไปกดยืนยันในแอปให้นะคะ,1
เฮ้ย! พรุ่งนี้สอบแล้วนะเว้ย อ่านยัง?,0
บัญชีธนาคารของคุณถูกใช้งานที่ต่างประเทศ กรุณายืนยันตัวตนโดยด่วนค่ะ,1
 โทรจากคลินิกหมอสมชายนะครับ จะโทรมาคอนเฟิร์มนัดตรวจสุขภาพฟันวันพรุ่งนี้ตอน 10 โมงเช้านะครับ ถ้าต้องการเลื่อนนัดหรือมาไม่ถูก แจ้งเจ้าหน้าที่ได้เลยนะครับ,0
เอารองเท้ามาด้วยนะเว้ย อย่าใส่แตะอีก กูขำไม่ไหว,0
คุณได้รับข้อเสนอเปิดบัตรเครดิตใหม่โดยไม่ต้องค้ำประกัน,1
กรุณาดำเนินการภายใน 15 นาที,1
