text,start,end
เฮ้ หวัด ดี เอ่อ เดี๋ยว พรุ่งนี้ เป็น,0.554,2.715
ไง ได้ บ้าง อ้อ ก็ไม่รู้เหมือนกัน,2.715,5.146
เอ้า ไหนบอกว่าจะไป,5.13,7.22
ที่สวนสาธารณะไง เอ้า,7.22,9.658
ก็ใช่ไงก็จะไปแต่ว่าแค่ว่า,9.962,12.602
ยังไม่รู้ทีว่าจะไปเวลาไหน เอาไม่ได้บอกว่าจะไปตอนเย็นหรอ,12.618,16.154
อ่ะ,16.266,17.146
ก็ใช่ ก็จะไปตอนนี้นั่นแหละ แต่ว่าแบบ,17.066,19.098
ยังไม่ได้นัดกับเพื่อนทีว่าจะไปแบบสักกี่โมง,19.21,22.778
ห้าโมงได้ไหม,22.986,24.026
เรามีติดงานจนถึงสักสี่โมง,24.234,27.578
กว่าแล้ว แล้วถ้าไปถึงก็น่าจะถึงห้าโมงกว่า,27.594,30.33
เออ 5 โมงกว่าได้ปะ,30.25,31.834
ก็ได้นะ ห้าโมงกว่า ได้ ได้,31.786,33.722
เดี๋ยวเราไปลองดูกับเพื่อน โอเค,33.898,36.41
งั้นเจอกันนะ โอเค,36.778,38.618
เจอกันครับไอ้กาก,38.602,39.898
