text,start,end
ฟู คอร์ แฟน เต อร ์ สวัสดี ค่ะ ดิฉัน พิมพ์ ภาพ,0.0,3.514
สมองสุขสิริ,3.626,4.954
รักษา ย,4.874,6.074
ยินดี ให้บริการ ค่ะ ขอ ทราบ ชื่อ,6.186,8.962
 คุณ ลูกค้า ด้วย ค่ะ สักครู่ นะคะ,8.962,11.738
นี่ ฉัน ขอ ตรวจสอบ,11.914,13.85
รายการ สักครู่ ค่ะ เรา ควร สอบถาม คุณ ลูกค้า,13.802,17.631999999999998
 ค่ะ จาก ที่ ได้ ตรวจสอบ ชื่อ คุณ มยุรี นวล,17.631999999999998,21.461999999999996
 อนงค์ เนี่ย ได้ ลง ทะเบียน ซิม ทรู ,21.461999999999996,24.333999999999996
มูฟ ไว้ ทั้งหมด สิบสอง สิบ ไม่ ทราบ ว่า คุณ,24.333999999999996,27.843999999999994
 ลูกค้า อยาก เติม วัน ใช้งาน เป็น เบอร์ ไหน คะ,27.843999999999994,31.353999999999992
คุณ ลูกค้า สามารถ เพิ่ม วัน ใช้,32.362,34.327000000000005
งาน ได้ ด้วย ตัวเอง โดย กด รับรอง,34.327000000000005,36.538000000000004
จาน หนึ่ง สอง สี่ ห้า,36.49,38.778
หลังจากนั้น กด,39.274,40.538
สี่ อด แปด เก้า และ เลือก วัน ใช้,40.778,43.599
งาน ได้ ตาม ต้องการ เลย ค่ะ อ๋อ,43.599,46.419999999999995
 เข้าใจ แล้ว ค่ะ คุณ ลูกค้า ค่ะ,46.419999999999995,49.24099999999999
คุณลูกค้า คุณลูกค้าคะ,49.162,51.866
ดิฉัน ขออภัย ใน ความไม่สะดวก กับ สิ่ง ที่ คุณ,51.882,55.073
 ลูกค้า พบ เจอ ปัญหา นะคะ ดิฉัน จะ ทำการ เติม,55.073,58.509
 วัน ใช้งาน ให้ คุณ ลูกค้า ทั้งหมด นะคะ ทั้ง สิบสอง,58.509,61.945
สิบสอง เบอร์ เลย ใช่ มั้ย คะ ต้อง ขออภัย คุณ ลูก,62.09,65.53
 ใคร อีกครั้ง ค่ะ เดี๋ยว วันนี้ ดิฉัน จะ ส่ง เรื่อง,65.53,68.97
 คำร้อง ไป ทาง ธงบริษัท หลัก นะคะ ให้ มี,68.97,72.697
การคดี บริการ เสริม,72.65,74.778
เติม วัน ใช้งาน จาก เครื่อง นึง,74.922,77.21
ได้ นะคะ ถ้า ทราบ ผล การ,77.578,79.467
 รายงาน แล้ว ดิฉัน จะ ติดต่อ,79.467,81.626
แจ้งไปทาง,81.834,83.066
ขอบคุณให้ภาพอีกทีค่ะ,83.114,85.306
เบอร์ โทร ติดต่อ,85.322,87.066
คุณ ลูกค้า ได้ เป็น เบอร์ นี้ เลย มั้ย คะ ศูนย์ เก้า เก้า,87.146,91.066
เจ็ด แปด เจ็ด สี่ ห้า หก สาม คุณลูกค้า สอบถาม,91.306,94.827
เรื่องอื่น อื่น เพิ่มเติมมั้ยคะ ยินดีค่ะ คุณมีลูกรี,94.827,98.618
ดิฉันจะรีบดำเนินการให้คุณเร็วเร็วค่ะ,98.57,101.53
ทาง ราว หวัง เป็น อย่างยิ่ง ค่ะ ว่า คุณ ลูกค้า จะ ไว้วางใจ ใน การใช้งาน กับ ผู้ ที่ มี ความสำเร็จ ใน ชีวิต ของ ตัวเอง และ ผู้ ที่ มี ความสำเร็จ ใน ชีวิต ของ ตัวเอง และ ผู้ ที่ มี ความสำเร็จ ใน ชีวิต ของ ตัวเอง และ ผู้ ที่ มี ความสำเร็จ ใน ชีวิต ของ ตัวเอง และ ผู้,101.834,104.289
 ที่ มี ความสำเร็จ ใน ชีวิต ของ ตัวเอง และ ผู้ ที่ มี ความสำเร็จ ใน ชีวิต ของ ตัวเอง และ ผู้ ที่ มี ความสำเร็จ ใน ชีวิต ของ ตัวเอง และ ผู้ ที่ มี ความสำเร็จ ใน ชีวิต ของ ตัวเอง และ ผู้ ที่ มี ความสำเร็จ ใน ชีวิต ของ ตัวเอง และ ผู้ ที่ มี ความสำเร็จ ใน ชีวิต ข,104.289,106.778
และ ถ้า ลูกค้า ติด ปัญหา เรื่อง ใด ใด,106.89,110.842
ขอให้ ลูกค้า ติดต่อ เข้ามา ที่ หนึ่ง สอง สี่,110.826,114.28699999999999
 สอง ได้ ตลอดเวลา เลย นะคะ ขอบพระคุณ มาก ค่ะ,114.28699999999999,118.03599999999999
