text,start,end
สวัสดีครับ เป็นไงบ้างครับ ตอนนี้,0.554,3.346
นิกษุทานธนาคารโทรมานะครับ,3.346,6.138
เอ่อ เผื่อ,6.474,7.77
ให้รู้ไว้นะครับว่าตอนนี้ เอ่อ คุณได้ใช้จ่าย,7.786,11.386
เอ่อ เงิน,11.754,13.082
เงินต่างประเทศจะจำนวนเงินสามพันบาทไหมครับ,13.162,16.474
อ๋อ ใช่เหรอครับ โอเค งั้นก็,16.97,18.842
ไม่เป็นไรครับ แค่โทรมาเนื่องจาก,18.858,21.146
มี เอ่อ ที่เกิดขึ้น,21.386,23.211
นะครับก็แค่นี้ครับ,23.211,25.401999999999997
ก็ เอ่อ ไว้เจอลูกค้ากัน,25.61,27.499
ครั้งต่อไปนะครับ สวัสดีครับ,27.499,29.657999999999998
