text,start,end
สวัสดีค่ะ,0.0,1.114
ส่วนลูกค้าสัมพันธ์เอไอเอส,1.098,3.034
ยินดีให้บริการค่ะ,3.114,4.826
ใน ชั้นนาง สา เบญจ วรรณ,4.906,6.842
ขอ ถาม หน้าที่ ดูแล คุณ ลูกค้า,6.794,9.21
วันนี้ มี อะไร ให้ ดิฉัน ช่วย เหรอ คะ,9.13,11.674
สวัสดี ค่ะ,11.914,13.114
ขอ ทราบ เบอร์ โทรศัพท์ ของ คุณ ลูกค้า ด้วย ค่ะ ไม่ ทราบ ว่า,13.098,16.607
 ดิฉัน เรียน สาย พูด อยู่ กับ คุณ อะไร คะ ขอ ทราบ นามสกุล,16.607,20.366999999999997
 ด้วย ค่ะ คุณ เอ เม ก้า ขอบคุณ ค่ะ คุณ เอ เม ก้า,20.366999999999997,24.126999999999995
 ขอ ดิฉัน ยืนยัน ตัวตน ของ คุณ เอ เม ก้า,24.126999999999995,27.385999999999996
เพื่อ ความปลอดภัย นะคะ คุณ เอ มิ ก้า,27.306,30.394
เบญจวรรค์ ขอ ทราบ เลข ประจำตัว ประชาชน,30.378,33.786
สี่ หลัก สุดท้าย ของ คุณ เอ มิ ก้า ค่ะ ค่า,33.93,37.242
ที่ ฉัน ขอ ทราบ วันเกิด ใน สัปดาห์ ของ คุณ เอ ,37.194,40.61
มิ ก้า ค่ะ ยืนยัน ข้อมูล ถูกต้อง ค่ะ เบญจวัน,40.61,44.025999999999996
ทำการ ดัง นับ เปิด โทรศัพท์ เบอร์,43.946,46.618
ศูนย์ สาม หนึ่ง,46.794,48.378
เจ็ด เก้า ห้า,48.618,50.17
ฮ่า ฮ่า,50.282,51.066
คุณ อิน วิ ค รา ฟ ร์ ส โค ล ลิ น ติ โอ ลิ น ติ โอ ลิ น ติ โอ ลิ น ติ โอ ลิ น ติ โอ ลิ น ติ โอ ลิ น ติ โอ ลิ น ติ โอ ลิ น ติ โอ ลิ น ติ โอ ลิ น ติ โอ ลิ น ติ โอ ลิ น ติ โอ ลิ น ติ โอ ลิ น ติ โอ ลิ น ติ โอ ลิ น ติ โอ ลิ น ติ โอ ,51.018,54.699
ลิ น ติ โอ ลิ น ติ โอ ลิ น ติ โอ ลิ น ติ โอ ลิ น ติ โอ ลิ น ติ โอ ลิ น ติ โอ ลิ น ติ โอ ลิ น ติ โอ ลิ น ติ โอ ลิ น ติ โอ ลิ น ติ โอ ลิ น ติ โอ ลิ น ติ โอ ลิ น ติ โอ ลิ น ติ โอ ลิ น ติ โอ ลิ น ติ โอ ลิ น ติ โอ ลิ น ติ,54.699,58.202
สามารถ นำ ใบ แจ้งความ,58.282,60.378
พร้อม บัตรประชาชน,60.298,61.786
นำ ไป ติด ต่อรับ สินค้า ได้ ทันที,61.962,64.858
ที่ ไอ,65.034,65.786
เอ ไอ เอส ชอป,65.738,67.002
เรท เท ลา วิ ส,67.05,68.122
โดยหลัง ได้รับ สิบ การ์ด แล้ว,68.362,70.266
คุณเอมิกาสามารถเปิดใช้งานได้ทันที,70.25,73.465
เลยค่ะ ค่ะ คุณเอมิกาอยากให้เป็นตะวัน,73.465,76.68
ช่วยเหลืออะไรเพิ่มเติมคะ โทรศัพท์หายไป,76.68,79.62700000000001
นานหรือยังคะ จากที่เห็นคร่าว ๆ นะคะ,79.62700000000001,82.84200000000001
ชั่วโมง นึง ที่ผ่านมา ไม่ มี การ ใช้,82.858,85.74600000000001
งาน นะคะ เหมือน สิบห้า นาที ที่แล้ว,85.74600000000001,88.63400000000001
มี สัญญาณ,88.714,89.978
เหมือน โทรศัพท์,90.09,91.034
กลับมา เปิด อีกครั้ง ค่ะ แต่ ทั้งนี้,91.178,94.33
คุณ เอม,94.314,95.29
ได้ มี การ ตั้ง รหัส ผ่าน โทรศัพท์,95.37,97.836
 ไว้ มั้ย คะ เบญจวรรณ คิด ว่า,97.836,99.994
ไม่น่าจะมีอะไรน่าเป็นห่วงนะคะ,100.042,102.49
เพราะ การ ปลด ล็อก โทรศัพท์,102.698,104.378
ยังคงต้องใช้เวลา,104.49,106.17
แล้ว ทาง ลาว,106.282,107.45
ก็ ดำเนินเรื่อง ระงับ สัญญาณ โทรศัพท์ เรียบร้อย แล้ว,107.53,111.194
ส่วนใหญ่ ก็ เลย มี แบบนี้,111.178,112.986
