text,start,end
สวัสดีครับ เอ่อ รู้ไหมครับว่าตอนนี้,0.426,3.1700000000000004
มีโจทย์ที่กำลังจะเอาเงินออกจาก,3.1700000000000004,5.914000000000001
เอ่อ,6.09,6.938
อาคาร ของ คุณ นะ ครับ ก็,6.858,8.922
สิ่งที่คุณทำก็ต้อง,8.906,10.874
เอ่อ ทำการยืนยันตัวตนเพื่อ,10.89,13.594
เพื่อทำการ เอ่อ เช็คกับคำว่า,14.09,16.858
และเขาของคนนั้น,16.874,18.554
เอ่อ ทุกคน เป็น ผู้,18.538,20.986
ใช้ จาก เขาจริงไหมครับ,20.97,23.162
ก็,24.074,24.89
ดังจากนั้นก็ให้,25.194,26.682
เดี๋ยวเราจะส่งลิงก์ไปให้นะครับ,26.986,30.01
เป็น,29.994,30.778
ลิงก์ยืนยันตัวตนนะครับ,30.794,32.442
โอเค เสร็จแล้วก็,33.066,34.714
ใส่ข้อมูลอะไรเสร็จก็,34.858,36.474
ส่งเลยนะครับเราจะได้,36.426,38.458
ได้ ได้ เลยนะครับ,38.698,41.178
ทำ ภายใน สิบ,41.13,43.322
สิบ สิบชั่วโมงนี้ก็จะทำ,43.594,45.954
ให้เกิดการล็อกอาคารนะครับ,45.954,48.314
