text,start,end
สวัสดีครับ,0.0,1.05
ดูหัวอก,1.29,2.33
ยินดีให้ดูการพัฒนาหนึ่งรับฝ่าย,2.474,5.466
ไม่กล้าวว่าคุณลูกค้ามีปัญหาการพยายามในด้าน,5.386,9.274
ได้ครับ ไม่ทราบว่าตอนนี้เรื่องสายอยู่กับคุณ,9.226,12.934000000000001
อะไร ขอตั้งใหม่เลขโทรศัพท์ของคุณสุธาดา,12.934000000000001,16.951
สักครู่ ขอบคุณที่อยู่ใกล้ลอยนะครับ คุณสุธาดา,16.951,21.277
มียอดค้างตำนานเดือนกุมภาพันธ์,21.277,24.058
แล้วเรามีบาปคุม,24.266,25.786
ผมเป็นยอด 8 ร้อยที่ 98 บาท,25.706,28.378
ยอดชำระเดือนกุมภาเป็น,28.682,31.198
 490 บาท โดยมีค่าโภคเกินอีก,31.198,34.074
90 บาทครับ,34.058,35.354
ยินดีครับ ไม่เช่าว่าคุณศิษฎาต้องการ,35.69,39.08
ประกาศเพิ่มเติมเรื่องอะไรอีกนะครับ หนึ่งเปิ้ม,39.08,42.778
มีแต่เหน็ดเต็มสติกับเหน็ด,42.762,44.845
ไม่อ้างขาดถ้าเป็นเหน็ดเต็มสติ,44.845,47.226
ลูกค้าจะสามารถใช้งานได้ความ,47.338,49.71
เร็วเป็นที่เป็นครบจำนวนในภาษี,49.71,52.346000000000004
แต่ถ้าสำเร็จไม่อั้น ลูกค้าจะสามารถใช้งาน,52.394,55.33
ได้ไม่เกินความเร็วที่กำหนดแบบไม่ลดสิ่งอื่น,55.33,58.266
มีตั้งแต่ 512 สี่เหลี่ยม,58.378,61.274
หนึ่ง นิ้ว สอง นิ้ว สี่ นิ้ว,61.354,63.458
 หก นิ้ว แล้วก็ สี่ นิ้ว,63.458,65.562
แต่เรามันมีแพ็กเกจ,65.482,67.738
ถ้าวางแต่มีสักอย่าง,67.658,69.722
หนึ่งวัน,69.77,70.714
สอนวัน,70.89,71.77
และ 7 วัน ส่วนใหญ่ ลูกค้าลองดูแพ็กเกจ,71.914,75.928
 7 วัน ราคาจะหยุดที่,75.928,78.482
 220 บาท ยอดค้างชำระรายเดือน เป็น,78.482,81.766
เงิน 898 บาท กับแพ็กเกจ 1 เป็น 4,81.766,85.05000000000001
สี่นาทีเจ็ดวัน,85.162,86.65
"220 บาท รวมเป็น 1,140 บาท นะครับ ขอทราบใหม่",86.922,90.58
เรื่องบัตรเครดิตและวันหมดอายุหน้าบัตรด้วยครับ,90.58,94.238
 ขอบคุณครับ ทางเราได้บันทึกข้อมูลให้เรียบร้อย,94.238,97.896
แล้วนะครับ ไม่ทราบว่าคุณสุธาดาต้องการสถาน,97.896,101.554
เพศเซลเมื่ออื่นอีกไหมครับ ถูกงบ ขอบคุณมากครับ,101.554,105.212
ขอบคุณที่ใช้บริการกับครูมูฟไอซิสท์,105.546,108.272
ครั้งนี้นะครับ ก่อนวางสายรบกวนให้สนาม,108.272,110.998
การบริการในครั้งนี้ด้วยครับ ขอบคุณอีกครั้ง,110.998,113.97200000000001
