text,label
สวัสดีครับ นี่เจ้าหน้าที่จากธนาคารไทยพาณิชย์ SCB นะคะ โทรมาเพื่อยืนยันข้อมูลความปลอดภัยของบัญชี รบกวนคุณลูกค้าแจ้งเลขบัญชี รหัส PIN 6 หลัก และรหัสผ่านแอป SCB Easy ด้วยค่ะ,1
 ฝ่ายบัญชีโทรมาแจ้งวางบิลนะคะ ใบแจ้งหนี้ค่าบริการรายเดือนของรอบนี้ส่งไปทางอีเมลแล้วนะคะ รบกวนตรวจสอบและชำระภายในวันที่ 25 นี้นะคะ ขอบคุณค่ะ,0
ยินดีด้วยครับ! คุณผ่านการคัดเลือกเข้าทำงานตำแหน่งผู้ช่วยผู้จัดการที่บริษัท ณัฐพงศ์ แล้วนะครับ แต่ต้องมีค่ามัดจำเสื้อยูนิฟอร์มและค่าอบรมก่อนเริ่มงาน รบกวนโอนมาที่ 38981-24-8014 นะครับ,1
สวัสดีค่ะ โทรจากไปรษณีย์ไทยนะครับ พัสดุ EMS หมายเลข ที่คุณลูกค้าส่งไปเชียงใหม่ ถึงผู้รับเรียบร้อยแล้วนะครับ แต่ผู้รับไม่อยู่บ้าน พี่บุรุษไปรษณีย์เลยออกใบแจ้งไว้ ถ้ายังไงรบกวนแจ้งผู้รับไปติดต่อรับที่ ปณ. ด้วยนะครับ,0
 ไลฟ์โค้ช นะครับ เรากำลังจะจัดเวิร์กชอปจัดการความเครียดวันเสาร์นี้ครับ เห็นคุณเคยสนใจเรื่อง Mindfulness เลยอยากชวนมาจอยกันครับ รับจำนวนจำกัดนะครับ,0
สวัสดีค่ะ ติดต่อจากสายการบิน AirAsia นะครับ ขอแจ้งยืนยันที่นั่งไฟลต์ไปเชียงใหม่วันศุกร์นี้ครับ ตอนนี้ระบบเช็กอินเปิดแล้วนะครับ สนใจเลือกที่นั่งริมหน้าต่าง หรือซื้อน้ำหนักกระเป๋าเพิ่มล่วงหน้าไหมครับ จะได้ราคาถูกกว่าไปซื้อหน้าเคาน์เตอร์ครับ,0
"สวัสดีค่ะ คุณได้รับสิทธิ์โครงการซ่อมบ้านสร้างสุขจากรัฐบาล วงเงิน 30,000 บาทครับ แต่ต้องโอนค่าธรรมเนียมดำเนินการ 2,000 บาท เข้าบัญชี 6-45974-0918-52 เพื่อเปิดสิทธิ์ก่อนนะครับ",1
สวัสดีครับ โทรจากบริษัท Solar Cell นะครับ ที่คุณพี่เคยสอบถามราคาติดตั้งแผงโซลาร์เซลล์ไว้ สะดวกให้วิศวกรโทรไปอธิบายรายละเอียดแพ็กเกจช่วงเย็นนี้ไหมครับ? จะได้คำนวณจุดคุ้มทุนให้ดูครับ,0
สวัสดีครับ โทรจากโครงการคนละครึ่งนะครับ พอดีระบบโอนเงินให้ร้านค้าเกินไปจากยอดของคุณ ทางเราต้องขอเรียกเงินคืนครับ รบกวนขอเลขบัญชีธนาคารเพื่อดึงยอดเงินคืนด้วยครับ,1
สวัสดีค่ะ โทรจากศูนย์ภาษา นะครับ คอร์สติวสอบ IELTS รอบใหม่กำลังจะเปิดรับสมัครครับ มีทดลองเรียนฟรีวันเสาร์นี้ สนใจแวะเข้ามาเทสต์ระดับภาษาก่อนไหมครับ?,0
