text,start,end
เจ้าหน้าที่อโนยินดีให้บริการค่ะ,2.666,5.914
ไม่ ทราบ ว่า คุณ ลูก ค้า ต้อง การ สอบ ถาม ข้อมูล เรื่อง,5.866,9.266
 ใด คะ ขอ อนุญาต สอบ ถาม ข้อมูล เพิ่ม เติม นะคะ,9.266,12.666
คุณลูกค้าไปทำงานหรือว่าไปท่องเที่ยวคะ,12.81,16.346
และจะอยู่ประมาณกี่วันคะ ขอบคุณสำหรับ,16.362,19.979
ข้อมูลนะคะ ตอนนี้ ซิมแทรฟเวิลด์ที่เหมาะกับ,19.979,23.596
คุณลูกค้าจะเป็นซิมทั่วโลกกับซิมเที่ยวเอเชีย,23.596,27.514
นะคะ สำหรับแทรฟเวิลด์ซิมเวิลด์หรือแบบทั่วโลก,27.514,31.131
คือสามารถใช้ได้กับทั้ง,31.114,33.481
ทวีปเอเชีย ยุโรป ออสเตรเลีย,33.481,36.186
และฝั่งอเมริกาค่ะ,36.17,37.914
ยกเว้นในต่างประเทศนะคะ คุณลูกค้า,38.186,41.025
สามารถใช้อินเทอร์เน็ตต่อเนื่องได้ 6 ติกไบต์,41.025,44.122
ใช้ได้นาน 15 วัน,44.202,46.266
ราคา อยู่ ที่ 899 บาท ค่ะ,46.282,49.562
ส่วน ซีม แทรว์เวล,49.834,51.418
ซิมเอเชีย ใช้ ได้ ค่า ประเทศ ใน แถบ เอเชีย,51.402,55.162
รวมทั้งประเทศออสเตรเลีย,55.306,57.419
ค่ะคุณลูกค้าได้เน็ตหกติด,57.419,59.833999999999996
กระบายเป็นเวลาสิบวัน,59.882,62.138
ราคา 399 บาท,62.25,64.666
แต่หากคุณลูกค้าเปิดใช้ภายใน,64.746,67.13
วันที่ 31 ธันวาคมนี้,67.274,69.786
จะได้เพิ่มเป็น 10 ลิกไบรต์จากเดิม 60 ลิกไบรต์,69.866,73.697
ทั้งสองแบบเลยนะคะ อ๋อ ได้มากกว่า,73.697,76.89
ได้ค่ะ คุณลูกค้า สะดวก,76.97,79.074
มารับซิมยังไงดีคะ,79.074,81.178
จะไปรับเองที่สาขาใกล้บ้าน,81.194,83.839
 หรือให้ทางทู้จะส่งให้ดีคะ เฮ้,83.839,86.77799999999999
ทั้งเจ้าหน้าที่จะจัดส่งให้ในวันพรุ่งนี้นะ,86.73,90.635
คะ อาณงค์ขอตรวจสอบข้อมูลในระบบตระกูล,90.635,94.54
นะคะ อ่า ขอทราบชื่อและที่อยู่ของคุณลูกค้า,94.54,98.44500000000001
ในการจัดส่งซิมจาร์ดหน่อยนะคะ ขอบคุณค่าคุณอรุณ,98.44500000000001,102.65
